Marke,Modell,Farbe,Erstzulassung,Jahr,Preis (Euro),Leistung (kW),Leistung (PS),Getriebe,Kraftstoff,Verbrauch (l/100 km),Verbrauch (g/km),Kilometerstand (km),Bemerkungen
volkswagen,Volkswagen Golf Plus,blau,10/2010,2010,5970,118,160,Schaltgetriebe,Benzin,6.5,153.0,152300.0,VI Team 1.4 TSI *NAV. AHK.PDC. Gewerbe/Export
volkswagen,Volkswagen T5 Multivan,blau,04/2010,2010,19900,132,179,Schaltgetriebe,Diesel,7.8,205.0,256000.0,2.0TDI* 179PS* FACELIFT*ATM 100TKM*
volkswagen,Volkswagen Passat Variant,blau,06/2010,2010,5380,110,150,Schaltgetriebe,Sonstige,7.2,167.0,213500.0,"1,4TSI Trendline EcoFuel"
volkswagen,Volkswagen Polo,blau,06/2010,2010,5990,63,86,Schaltgetriebe,Benzin,5.8,139.0,140000.0,V *Klima*Einparkhilfe*Alufelgen
volkswagen,Volkswagen Golf,blau,03/2010,2010,4990,77,105,Schaltgetriebe,Diesel,4.5,119.0,229000.0,"VI Variant Comfortline,AHK"
volkswagen,Volkswagen Golf,blau,11/2010,2010,8390,77,105,Schaltgetriebe,Benzin,5.7,134.0,120800.0,"VI Team , SEHR GEPFLEGTES FAHRZEUG"
volkswagen,Volkswagen Golf,blau,05/2010,2010,5499,59,80,Schaltgetriebe,Benzin,6.4,149.0,100000.0,VI Trendline|1.Hand|S.Heft|Klimaautom.|59kw
volkswagen,Volkswagen Golf,blau,06/2010,2010,9599,118,160,Schaltgetriebe,Benzin,6.3,145.0,112000.0,1.4 TSI Highline
volkswagen,Volkswagen Golf,blau,10/2010,2010,7777,59,80,Schaltgetriebe,Benzin,6.4,149.0,57000.0,1.4 CL*2.HAND*5-TÜRER*KM: 57.000*PDC*SITZHZ
volkswagen,Volkswagen Golf,blau,04/2010,2010,4650,77,105,Schaltgetriebe,Benzin,5.7,134.0,215000.0,VI Team TÜV NEU 8 Fach-bereift AHK
volkswagen,Volkswagen Golf,blau,09/2010,2010,5840,90,122,Schaltgetriebe,Benzin,7.4,144.0,179000.0,VI 1.4 Comfortline/Navi/PDC/Tempo/18Z/Sitzh
volkswagen,Volkswagen Golf,blau,02/2010,2010,5290,77,105,Schaltgetriebe,Diesel,4.5,119.0,169000.0,"Variant 1.6 TDI,Klima,1.Hand,PDC"
volkswagen,Volkswagen Golf,blau,11/2010,2010,6400,118,160,Schaltgetriebe,Benzin,6.3,145.0,91000.0,VI Highline Klima/ATM mit 38.000 km/PDC/SHZ
volkswagen,Volkswagen Golf Variant,blau,08/2010,2010,8950,77,105,Schaltgetriebe,Diesel,4.5,119.0,131628.0,1.6 TDI DPF Comfortline / Navi/Klima
volkswagen,Volkswagen Tiguan,blau,12/2010,2010,6590,110,150,Schaltgetriebe,Benzin,6.7,156.0,120292.0,Team BMT Navi LED PDC SHZ Panoramadach
volkswagen,Volkswagen Polo,blau,10/2010,2010,7200,51,69,Schaltgetriebe,Benzin,5.5,128.0,71700.0,1.2  Team
volkswagen,Volkswagen Golf,blau,03/2010,2010,11500,118,160,Schaltgetriebe,Benzin,6.3,145.0,195879.0,Highline VI (5K1)
volkswagen,Volkswagen Touran,blau,05/2010,2010,6500,103,140,Automatik,Diesel,6.7,177.0,135000.0,Highline*7 SITZER* AUTOMATIK*NEU TÜV*AHK*
volkswagen,Volkswagen Golf,blau,07/2010,2010,7400,77,105,Schaltgetriebe,Diesel,4.7,123.0,161736.0,1.6 TDI DSG Team
volkswagen,Volkswagen Golf,blau,02/2010,2010,4490,90,122,Schaltgetriebe,Benzin,6.2,144.0,117000.0,1.4 TSI Comfortline
volkswagen,Volkswagen Polo,blau,12/2010,2010,7200,44,60,Schaltgetriebe,Benzin,5.5,128.0,160000.0,V 1.2i Trendline Lim. TÜV AU 03.2024
volkswagen,Volkswagen Golf,blau,09/2010,2010,7790,77,105,Schaltgetriebe,Diesel,4.1,107.0,144000.0,Comfortline BlueMotion/BMT VI (5K1) 1.6 TDI Leder
volkswagen,Volkswagen Golf,blau,06/2010,2010,5750,77,105,Schaltgetriebe,Diesel,4.5,119.0,181588.0,VI Variant Highline
volkswagen,Volkswagen Polo,blau,05/2010,2010,9780,44,60,Schaltgetriebe,Benzin,5.5,128.0,79000.0,| HU Neu | Klima | VW Scheckheft |
volkswagen,Volkswagen Tiguan,blau,07/2010,2010,4300,147,200,Schaltgetriebe,Benzin,8.5,199.0,177500.0,Track & Field 4Motion*2 Hand*
volkswagen,Volkswagen Passat Variant,blau,06/2010,2010,5500,110,150,Schaltgetriebe,Autogas (CNG),7.2,124.0,214400.0,Passat 1.4 Comfortline EcoFuel_NAVI_SHZ_GRA*69
volkswagen,Volkswagen Golf,blau,04/2010,2010,4999,77,105,Schaltgetriebe,Diesel,4.5,119.0,199999.0,VI Variant Highline 1.6 TÜV:06.2023 Euro5
volkswagen,Volkswagen Caddy,blau,10/2010,2010,11999,59,80,Schaltgetriebe,Benzin,8.0,191.0,90000.0,Life Team*AHK*Klima*FES*2xSchiebetür*PDC*
volkswagen,Volkswagen Crafter,blau,04/2010,2010,14999,80,109,Schaltgetriebe,Diesel,9.9,262.0,157000.0,Pritsche 35 mittel L2 Doppelkabine
volkswagen,Volkswagen Golf,blau,08/2010,2010,10690,103,140,Schaltgetriebe,Diesel,4.9,129.0,85000.0,Team VI *großes Navi*
volkswagen,Volkswagen Golf,blau,03/2010,2010,6999,90,122,Schaltgetriebe,Benzin,6.2,144.0,167852.0,1.4 TSI Comfortline SITZHEIZUNG AHK PDC ALU
volkswagen,Volkswagen Touran,blau,05/2010,2010,8900,125,170,Schaltgetriebe,Diesel,6.6,174.0,173439.0,Highline 2.0 l TDI mit Dieselpartikelfilter 170PS
volkswagen,Volkswagen Passat Variant,blau,04/2010,2010,5900,90,122,Automatik,Benzin,6.0,139.0,175000.0,1.4 TSI DSG BlueMotion Technology
volkswagen,Volkswagen Golf Variant,blau,01/2010,2010,5350,77,105,Schaltgetriebe,Diesel,4.2,109.0,195000.0,1.6 TDI DPF BlueMotion Technology Comfortline
volkswagen,Volkswagen Golf,blau,11/2010,2010,12990,77,105,Automatik,Diesel,4.2,109.0,97366.0,VI Comfortline Xenon PDC DSG Navi Garantie
volkswagen,Volkswagen Tiguan,blau,09/2010,2010,8980,125,170,Automatik,Benzin,8.6,199.0,195969.0,Team 4Motion
volkswagen,Volkswagen Caddy,blau,09/2010,2010,11990,77,105,Schaltgetriebe,Diesel,6.2,164.0,78803.0,Life (2K)
volkswagen,Volkswagen Polo,blau,03/2010,2010,7900,51,69,Schaltgetriebe,Benzin,5.5,128.0,105000.0,V 1.2 12V Comfortline*2.HAND-EURO 5*
volkswagen,Volkswagen T5 Kombi,blau,06/2010,2010,35840,96,131,Schaltgetriebe,Diesel,9.1,241.0,39114.0,2.5TDI 4Motion Widder Seikel Klima
volkswagen,Volkswagen Eos,blau,03/2010,2010,9999,103,140,Automatik,Diesel,5.9,154.0,150000.0,"2.0 TDI DPF DSG GT Sport, nahezu Vollausstattung"
volkswagen,Volkswagen Caddy,blau,04/2010,2010,6995,77,105,Schaltgetriebe,Diesel,6.2,164.0,240000.0,Maxi Kasten 1.9 TDI Klima AHK
volkswagen,Volkswagen Golf Variant,blau,12/2010,2010,8790,90,122,Schaltgetriebe,Benzin,6.4,153.0,116193.0,Comfortline VI 1.4 122PS  PDC  AHK SR/WR KLIMA
volkswagen,Volkswagen Caddy,blau,05/2010,2010,9999,59,80,Schaltgetriebe,Benzin,7.9,188.0,71000.0,1.4 Kasten (verglast) - 2.Hd./orig. 71 TKM
volkswagen,Volkswagen Touran,blau,01/2010,2010,6950,103,140,Schaltgetriebe,Benzin,7.2,166.0,222000.0,1.4 TSI Conceptline
volkswagen,Volkswagen Fox,blau,01/2010,2010,1100,40,54,Schaltgetriebe,Benzin,5.9,139.0,227000.0,1.2
volkswagen,Volkswagen Caddy,blau,06/2010,2010,9990,55,75,Schaltgetriebe,Diesel,6.3,167.0,136400.0,1.9 TDI DPF LIFE (5-Si.)+CLIMATIC+PDC+LICH
volkswagen,Volkswagen Golf,blau,02/2010,2010,6850,77,105,Schaltgetriebe,Diesel,4.5,119.0,178500.0,VI Variant TDI TÜV NEU !
volkswagen,Volkswagen Crafter,blau,09/2010,2010,7450,80,109,Schaltgetriebe,Diesel,9.9,262.0,336000.0,Kasten 35 mittel L2H1
volkswagen,Volkswagen Crafter,blau,06/2010,2010,5990,100,136,Schaltgetriebe,Diesel,10.2,270.0,227000.0,35 mittel L2 Doppelkabine Pritsche (2F)
volkswagen,Volkswagen Golf Variant,blau,10/2010,2010,6990,90,122,Schaltgetriebe,Benzin,6.4,153.0,150000.0,Comfortline VI PDC TÜV 10.2024
volkswagen,Volkswagen Golf,blau,08/2010,2010,4990,103,140,Automatik,Diesel,5.5,144.0,252000.0,VI Variant Comfort.2.0TDI/DSG/ STZH/AHK/PDC
volkswagen,Volkswagen Golf Plus,blau,07/2010,2010,5999,77,105,Schaltgetriebe,Diesel,4.8,127.0,205000.0,Golf Plus 1.6 TDI DPF TEAM AHK ParkAssist Alu
volkswagen,Volkswagen Passat Variant,blau,04/2010,2010,6800,125,170,Automatik,Diesel,6.2,163.0,224000.0,R-Line Edition Plus DSG
volkswagen,Volkswagen Polo,blau,04/2010,2010,6000,66,90,Schaltgetriebe,Diesel,3.7,96.0,247202.0,Polo V 1.6 TDI Blue Motion Comfortline
volkswagen,Volkswagen Golf Variant,blau,11/2010,2010,5890,77,105,Schaltgetriebe,Benzin,5.8,136.0,140715.0,1.2 TSI Trendline
volkswagen,Volkswagen Golf,blau,05/2010,2010,7899,118,160,Schaltgetriebe,Benzin,6.3,145.0,123939.0,VI Highline 1.4 TSI KLIMAAUT.~SHZ~PDC
volkswagen,Volkswagen Touran,blau,07/2010,2010,12999,103,140,Automatik,Benzin,6.6,154.0,99992.0,Highline *Automatik*Leder*Navi*AHK*RFK*
volkswagen,Volkswagen Golf,blau,11/2010,2010,7990,90,122,Schaltgetriebe,Benzin,6.5,152.0,129000.0,"VI Plus 1,4 TSI Team 1.Hand Klimaautomatik"
volkswagen,Volkswagen Golf,blau,10/2010,2010,6299,59,80,Schaltgetriebe,Benzin,6.4,149.0,108288.0,2.0 TSI Scheckheft Automatik Navi Klima Sitzheiz
volkswagen,Volkswagen Scirocco,blau,04/2010,2010,12990,155,211,Automatik,Benzin,7.5,174.0,150700.0,VI 2.0 GTD*LEDER*Bi XENON*SiTZHG*PDC*
volkswagen,Volkswagen Golf,blau,12/2010,2010,12950,125,170,Schaltgetriebe,Diesel,5.1,134.0,125000.0,"VI Automatik, Parks., Schiebedach"
volkswagen,Volkswagen Tiguan,blau,12/2010,2010,16990,125,170,Automatik,Benzin,8.6,199.0,80000.0,Team Sport-4Motion DSG Pano AHK Navi PDC
volkswagen,Volkswagen Polo,blau,08/2010,2010,7750,63,86,Schaltgetriebe,Benzin,5.8,139.0,124700.0,"1,4 ""Highline"""
volkswagen,Volkswagen New Beetle,blau,01/2010,2010,7900,75,102,Schaltgetriebe,Benzin,7.5,178.0,218000.0,1.6/Servo/Klima/Tempomat/ZV/PDC/TÜV/
volkswagen,Volkswagen Caddy,blau,09/2010,2010,6900,75,102,Schaltgetriebe,Diesel,5.7,149.0,124900.0,Kombi 75kW TDI  ...Standheizung  TÜV NEU
volkswagen,Volkswagen Golf,blau,07/2010,2010,8399,59,80,Schaltgetriebe,Benzin,6.4,149.0,311120.0,VI6 1.4 16V*KLIMAANLAGE*RCD-210*EL.FH*5.G**
volkswagen,Volkswagen Touran,blau,05/2010,2010,5900,75,102,Schaltgetriebe,Benzin,8.1,193.0,149500.0,AHK TÜV NEU  TEMP XENON  ZAHNRIEMEN NEU
volkswagen,Volkswagen Golf Variant,blau,09/2010,2010,11400,77,105,Schaltgetriebe,Diesel,4.2,109.0,177568.0,Trendline BlueMotion VI (AJ5)
volkswagen,Volkswagen Sharan,blau,12/2010,2010,4000,110,150,Schaltgetriebe,Benzin,7.2,171.0,198900.0,1.4 AHK 7-Sitze Klima EURO5 ABS ESP el.FH
volkswagen,Volkswagen Polo,blau,12/2010,2010,8590,66,90,Schaltgetriebe,Diesel,4.2,109.0,299000.0,"V Team,1,6 TDI,Xenon,Navi"
volkswagen,Volkswagen Polo,blau,05/2010,2010,4999,63,86,Automatik,Benzin,5.9,135.0,130761.0,V Team Automatik Klima Sitzhzg.
volkswagen,Volkswagen Golf,blau,01/2010,2010,6950,90,122,Schaltgetriebe,Benzin,6.2,144.0,186460.0,VI Highline/SHZ/PDC/Alu
volkswagen,Volkswagen Fox,blau,02/2010,2010,2800,40,54,Schaltgetriebe,Benzin,6.2,148.0,126000.0,2 hand 126000
volkswagen,Volkswagen Golf Variant,blau,06/2010,2010,3450,77,105,Schaltgetriebe,Diesel,4.2,109.0,277770.0,Trendline BlueMotion VI (AJ5)
volkswagen,Volkswagen Caddy,blau,08/2010,2010,7980,77,105,Schaltgetriebe,Diesel,6.4,170.0,191600.0,"Life 1.9 TDI, 2. Hand, Scheckheft, AHK, Klima, ZR"
volkswagen,Volkswagen Polo,blau,11/2010,2010,5250,44,60,Schaltgetriebe,Benzin,5.5,128.0,176600.0,1.2 44kW Trendline - 2.Hd./orig. 177 TKM
volkswagen,Volkswagen Golf Plus,blau,05/2010,2010,7700,77,105,Schaltgetriebe,Benzin,5.9,139.0,126000.0,Team VI (521)
volkswagen,Volkswagen Caddy,blau,09/2010,2010,11499,75,102,Schaltgetriebe,Benzin,8.2,195.0,65000.0,1.6 Life Team Cool & Sound 2xSchiebetür ESP
volkswagen,Volkswagen Touran,blau,10/2010,2010,5000,77,105,Schaltgetriebe,Diesel,5.1,132.0,270000.0,1.6 TDI DPF DSG Highline
volkswagen,Volkswagen Polo,blau,12/2010,2010,8500,77,105,Schaltgetriebe,Benzin,5.3,124.0,114300.0,1.2 TSI Highline
volkswagen,Volkswagen Golf,blau,08/2010,2010,8299,90,122,Automatik,Benzin,6.0,139.0,149000.0,VI Variant Comfortline..A U T O M A T I K.
volkswagen,Volkswagen Caddy,blau,08/2010,2010,18490,77,105,Schaltgetriebe,Diesel,6.4,170.0,123800.0,Maxi Life Team Behindertengerecht
volkswagen,Volkswagen T5 Kombi,blau,02/2010,2010,15900,75,102,Schaltgetriebe,Diesel,8.5,224.0,110000.0,1.9 TDI Klima lang - (7H)
volkswagen,Volkswagen Golf,blau,09/2010,2010,10970,77,105,Automatik,Benzin,5.8,134.0,80000.0,1.2 TSI DSG Trendline+wenig km+2.Hand+PDC+
volkswagen,Volkswagen Golf Plus,blau,01/2010,2010,7980,90,122,Automatik,Benzin,6.3,146.0,183000.0,1.4 TSI DSG Trendline
volkswagen,Volkswagen Sharan,blau,02/2010,2010,9999,85,116,Schaltgetriebe,Benzin,9.7,233.0,173000.0,1-Hand Scheckheft 8-fach bereift 7-Sitzer
volkswagen,Volkswagen Golf,braun,02/2010,2010,4950,77,105,Schaltgetriebe,Benzin,5.9,139.0,180507.0,VI Plus Comfortline
volkswagen,Volkswagen Caddy,braun,11/2010,2010,8500,75,102,Schaltgetriebe,Diesel,5.7,149.0,205300.0,1.6 TDI  Trendline Zahnriemen Bremsen Radlager neu
volkswagen,Volkswagen Golf Plus,braun,06/2010,2010,9490,90,122,Automatik,Benzin,6.3,146.0,131501.0,"VI Team TSI 1.4 AHK,DSG,KLA,PARK."
volkswagen,Volkswagen Passat Variant,braun,04/2010,2010,10999,125,170,Automatik,Diesel,6.4,163.0,181500.0,2.0 TDI 4Motion DPF DSG R-Line Edition Plus
volkswagen,Volkswagen Golf Plus,braun,06/2010,2010,8200,77,105,Schaltgetriebe,Benzin,5.9,139.0,75590.0,Golf Plus 1.2 TSI Comfortline
volkswagen,Volkswagen Sharan,braun,12/2010,2010,15990,110,150,Schaltgetriebe,Benzin,7.2,167.0,155696.0,1.4 TSI Comfortline |e.Türen |Navi |PDC
volkswagen,Volkswagen Golf Plus,braun,11/2010,2010,6500,63,86,Schaltgetriebe,Benzin,5.8,136.0,98100.0,"1,2 TSI ""Team"" | TÜV | Sitzheizung | Tempomat"
volkswagen,Volkswagen Touareg,braun,09/2010,2010,20480,250,340,Automatik,Diesel,9.1,239.0,188000.0,V8 TDI/Leder/Ahk/360°-Kamera/ACC
volkswagen,Volkswagen Golf Plus,braun,12/2010,2010,10750,118,160,Schaltgetriebe,Benzin,6.5,153.0,52800.0,1.4 TSI Highline - 2.Hd./orig. 53TKM
volkswagen,Volkswagen Golf,braun,12/2010,2010,8250,77,105,Automatik,Benzin,5.9,139.0,113800.0,"VI Plus Team, DSG , Klima ,Navi"
volkswagen,Volkswagen Golf,braun,10/2010,2010,7999,77,105,Schaltgetriebe,Diesel,4.8,126.0,141000.0,VI Plus Comfortline*Garantie*PDC*AHK*TÜVNEU
volkswagen,Volkswagen Passat,braun,12/2010,2010,11299,118,160,Automatik,Benzin,7.0,162.0,160500.0,Lim. Comfortline*DSG*Kamera*Park-As*Navi
volkswagen,Volkswagen Passat,braun,12/2010,2010,9990,77,105,Schaltgetriebe,Diesel,4.3,114.0,113600.0,1.6 TDI Lim. BlueMotion *HU/AU NEU*
volkswagen,Volkswagen Touran,braun,12/2010,2010,8500,103,140,Automatik,Diesel,5.7,149.0,195000.0,4.2 TDI 4-Motion Standheizung Assist AHK
volkswagen,Volkswagen Touareg,braun,03/2010,2010,19990,250,340,Automatik,Diesel,9.1,239.0,166175.0,"Lim. 2.0 TDI Comfortl.,Klimaaut,Sitzh,AHK"
volkswagen,Volkswagen Passat,braun,12/2010,2010,9950,103,140,Schaltgetriebe,Diesel,4.6,119.0,183274.0,1.4 TSI BM Trendline #PDC #WINTER #KLIMA
volkswagen,Volkswagen Sharan,braun,12/2010,2010,10500,110,150,Schaltgetriebe,Benzin,7.2,167.0,165200.0,Kombi Team*Navi*SHZ*PDC*Tempomat*DSG*
volkswagen,Volkswagen Caddy,braun,11/2010,2010,12499,75,102,Automatik,Diesel,5.8,152.0,168000.0,Team VI (521)
volkswagen,Volkswagen Golf Plus,braun,11/2010,2010,7800,90,122,Schaltgetriebe,Benzin,6.5,152.0,109000.0,2.0 TDI DPF
volkswagen,Volkswagen Passat Variant,braun,04/2010,2010,9300,81,110,Schaltgetriebe,Diesel,5.8,129.0,132000.0,1.8 TSI DSG
volkswagen,Volkswagen Passat CC,braun,07/2010,2010,9999,125,170,Automatik,Diesel,5.9,154.0,235774.0,DSG 4MOTION Highline
volkswagen,Volkswagen T5 Multivan,braun,03/2010,2010,19500,132,179,Automatik,Diesel,8.8,232.0,280000.0,Team
volkswagen,Volkswagen Golf,gelb,03/2010,2010,7990,118,160,Schaltgetriebe,Benzin,6.3,145.0,108765.0,"VI Highline Bi-Xenon/Park Assist/""BVB"""
volkswagen,Volkswagen Sharan,gelb,03/2010,2010,4900,103,140,Schaltgetriebe,Diesel,6.9,186.0,319000.0,2.0 TDI|XENON|KLIMA|AHK|7-SITZE|TÜV 06.23
volkswagen,Volkswagen Fox,gelb,02/2010,2010,1699,40,54,Schaltgetriebe,Benzin,5.9,139.0,190000.0,*2xSchiebetüre*1.Hand*2.0SDI*Scheckheft
volkswagen,Volkswagen Polo,gelb,09/2010,2010,7900,44,60,Schaltgetriebe,Benzin,5.5,128.0,65100.0,T5 1.9 TDI 2x Schiebetüre /Scheckheft
volkswagen,Volkswagen T5 Transporter,gelb,11/2010,2010,7350,62,84,Schaltgetriebe,Diesel,7.2,191.0,198800.0,T5 Pritsche Doppelkabine/ 2.0 Tdi/klima/Tüv NEU
volkswagen,Volkswagen T5 Transporter,gelb,05/2010,2010,8199,62,84,Schaltgetriebe,Diesel,7.9,208.0,431326.0,2.0 SDI PARKTRONIK CoC 2xSCHIEBETÜR SERVICE 151tk
volkswagen,Volkswagen Caddy,gelb,05/2010,2010,4165,51,69,Schaltgetriebe,Diesel,6.0,159.0,153633.0,Kasten 4Motion Seikel Fahrwerk Höherlegung
volkswagen,Volkswagen Caddy,gelb,08/2010,2010,4740,77,105,Schaltgetriebe,Diesel,6.6,172.0,325775.0,Kasten-Kombi AHK 3 SITZE TÜV
volkswagen,Volkswagen T5 Transporter,gelb,11/2010,2010,7590,62,84,Schaltgetriebe,Diesel,7.2,191.0,185000.0,Kasten
volkswagen,Volkswagen T5 Transporter,gelb,04/2010,2010,5800,62,84,Schaltgetriebe,Diesel,7.2,191.0,187000.0,2.5 TDI DPF
volkswagen,Volkswagen Crafter,gelb,06/2010,2010,10000,65,88,Schaltgetriebe,Diesel,10.8,285.0,116000.0,Caddy 2.0 SDI
volkswagen,Volkswagen Golf,grau,11/2010,2010,7699,77,105,Schaltgetriebe,Benzin,5.7,134.0,135764.0,Team VI (5K1) TÜV NEU INSPEKTION NEU
volkswagen,Volkswagen Scirocco,grau,09/2010,2010,10500,90,122,Schaltgetriebe,Benzin,6.0,139.0,152000.0,1.4 TSI BlueMotion Technology Team
volkswagen,Volkswagen Polo,grau,02/2010,2010,6250,55,75,Schaltgetriebe,Diesel,4.2,109.0,137000.0,1.6 TDI Trendline
volkswagen,Volkswagen Golf,grau,09/2010,2010,9980,59,80,Schaltgetriebe,Benzin,6.7,144.0,33000.0,TOUR *TOP-AUSSTATTUNG *2.HAND *GARANTIE*TÜV NEU
volkswagen,Volkswagen Passat Variant,grau,06/2010,2010,10900,118,160,Automatik,Benzin,7.4,171.0,121782.0,Passat1.8 TSI*DSG*BI-XEN*NAV*PDC*SHZ*TMP*TÜV-NEU
volkswagen,Volkswagen Golf,grau,01/2010,2010,8450,125,170,Automatik,Diesel,5.6,147.0,240065.0,"VI 2,0 TDI , GTD"
volkswagen,Volkswagen Tiguan,grau,06/2010,2010,10900,110,150,Schaltgetriebe,Benzin,6.7,156.0,56631.0,Trend
volkswagen,Volkswagen Polo,grau,11/2010,2010,6900,63,86,Schaltgetriebe,Benzin,5.9,139.0,124000.0,1.4
volkswagen,Volkswagen Polo,grau,04/2010,2010,11350,77,105,Automatik,Benzin,5.3,124.0,57314.0,V Team Automatik Sitzheizung Tüv Neu
volkswagen,Volkswagen Golf,grau,09/2010,2010,10500,118,160,Automatik,Benzin,6.0,139.0,70440.0,VI 1.4 DSG* nur 70.000km
volkswagen,Volkswagen Golf,grau,05/2010,2010,10999,125,170,Schaltgetriebe,Diesel,5.3,139.0,164188.0,GTD VI (5K1)
volkswagen,Volkswagen Golf,grau,07/2010,2010,5790,77,105,Schaltgetriebe,Benzin,5.9,139.0,147000.0,VI Plus TÜV NEU/Vollausstattung/8 Fach ber.
volkswagen,Volkswagen Golf,grau,03/2010,2010,13260,155,211,Schaltgetriebe,Benzin,7.3,170.0,96000.0,VI GTI Sitzheizung PDC 18-Zoll
volkswagen,Volkswagen Golf,grau,09/2010,2010,4799,75,102,Schaltgetriebe,Benzin,7.1,166.0,206130.0,Sharan 2.0 TDI Blue Motion Comfortline
volkswagen,Volkswagen Polo,grau,08/2010,2010,8490,77,105,Schaltgetriebe,Benzin,5.3,124.0,99971.0,"VI 1.2 TSI DSG Comfor,Parktr.Einparkh.Sitzh.Klima"
volkswagen,Volkswagen Golf,grau,11/2010,2010,8700,77,105,Automatik,Benzin,5.8,134.0,126400.0,"Golf 6 , Trendline BlueMotion/BMT VI (5K1) 2 Hand"
volkswagen,Volkswagen Golf,grau,12/2010,2010,6900,77,105,Schaltgetriebe,Diesel,4.1,107.0,204000.0,1.9 TDI Highline-1.HAND-NAVI-VOLLSCHECKHEFTGEPFLEG
volkswagen,Volkswagen Polo,grau,11/2010,2010,5490,77,105,Schaltgetriebe,Benzin,5.3,124.0,161135.0,1.2 TSI PDC
volkswagen,Volkswagen Golf,grau,02/2010,2010,11450,155,211,Schaltgetriebe,Benzin,7.3,170.0,141825.0,VI GTI 1.HAND 5 Trg. SHZ PDC
volkswagen,Volkswagen Golf,grau,09/2010,2010,11480,118,160,Automatik,Benzin,6.0,139.0,154180.0,VI Highline*Vollleder*Navi*SD*PDC*
volkswagen,Volkswagen Golf,grau,06/2010,2010,6900,90,122,Automatik,Benzin,6.0,138.0,214400.0,VI Team *1.HAND/DSG/PDC/KLIMA/TEMPO/SHZ*
volkswagen,Volkswagen Golf,grau,07/2010,2010,8000,59,80,Schaltgetriebe,Benzin,6.4,149.0,69474.0,1.4 Comfortline|TÜV bis 03.2025| 69474km
volkswagen,Volkswagen Passat CC,grau,06/2010,2010,8000,103,140,Schaltgetriebe,Diesel,5.4,146.0,159472.0,Passat CC 2.0 TDI
volkswagen,Volkswagen Tiguan,grau,03/2010,2010,10450,103,140,Schaltgetriebe,Diesel,5.3,139.0,103500.0,Team BMT AHK-KLIMA-SHZ-TEMPOMAT
volkswagen,Volkswagen Golf,grau,09/2010,2010,14880,155,211,Schaltgetriebe,Benzin,7.3,170.0,84000.0,VI GTI AHK DCC Pano
volkswagen,Volkswagen Passat,grau,10/2010,2010,8550,103,140,Schaltgetriebe,Diesel,5.6,146.0,239000.0,CC 2.0 TDI *2.HAND*KLIMA*S-HEFT*
volkswagen,Volkswagen Golf,grau,04/2010,2010,5200,59,80,Schaltgetriebe,Benzin,6.4,149.0,183000.0,1.4 Team
volkswagen,Volkswagen Golf,grau,11/2010,2010,9900,90,122,Schaltgetriebe,Benzin,6.2,144.0,81000.0,VI Highline/Klima/PDC/Alcantara/Dyn Audio
volkswagen,Volkswagen Polo,grau,11/2010,2010,6500,63,86,Schaltgetriebe,Benzin,5.8,139.0,118500.0,"GOLF VI ""GTD"" - KLIMA/8FACH ALU/SITZH/PDC V&H"
volkswagen,Volkswagen Golf,grau,03/2010,2010,8950,125,170,Schaltgetriebe,Diesel,5.3,139.0,165800.0,2.0 TDI DSG GTD*BiXenon*Temp*SHZ*Navi*Mufu*
